"","controller","condition","item","rt","NA","subject","group"
"3229","DashedSentence",-0.5,"4",1878,"FALSE","Native 15","Native"
"3233","DashedSentence",-0.5,"19",3555,"FALSE","Native 15","Native"
"3241","DashedSentence",-0.5,"7",4529,"FALSE","Native 15","Native"
"3261","DashedSentence",-0.5,"20",2337,"FALSE","Native 15","Native"
"3265","DashedSentence",-0.5,"17",4216,"FALSE","Native 15","Native"
"3281","DashedSentence",-0.5,"8",2784,"FALSE","Native 15","Native"
"3289","DashedSentence",-0.5,"18",3302,"FALSE","Native 15","Native"
"3293","DashedSentence",-0.5,"16",3379,"FALSE","Native 15","Native"
"3321","DashedSentence",-0.5,"10",3209,"FALSE","Native 15","Native"
"3333","DashedSentence",-0.5,"15",5115,"FALSE","Native 15","Native"
"3341","DashedSentence",-0.5,"12",3443,"FALSE","Native 15","Native"
"3349","DashedSentence",-0.5,"22",6441,"FALSE","Native 15","Native"
"3357","DashedSentence",-0.5,"3",6085,"FALSE","Native 15","Native"
"3373","DashedSentence",-0.5,"14",8395,"FALSE","Native 16","Native"
"3377","DashedSentence",-0.5,"4",3754,"FALSE","Native 16","Native"
"3385","DashedSentence",-0.5,"13",5288,"FALSE","Native 16","Native"
"3389","DashedSentence",-0.5,"8",5161,"FALSE","Native 16","Native"
"3393","DashedSentence",-0.5,"20",5710,"FALSE","Native 16","Native"
"3405","DashedSentence",-0.5,"12",7657,"FALSE","Native 16","Native"
"3413","DashedSentence",-0.5,"19",4772,"FALSE","Native 16","Native"
"3429","DashedSentence",-0.5,"9",4390,"FALSE","Native 16","Native"
"3433","DashedSentence",-0.5,"7",4989,"FALSE","Native 16","Native"
"3437","DashedSentence",-0.5,"10",10973,"FALSE","Native 16","Native"
"3441","DashedSentence",-0.5,"5",9644,"FALSE","Native 16","Native"
"3445","DashedSentence",-0.5,"18",6276,"FALSE","Native 16","Native"
"3449","DashedSentence",-0.5,"16",5571,"FALSE","Native 16","Native"
"3457","DashedSentence",-0.5,"24",3655,"FALSE","Native 16","Native"
"3473","DashedSentence",-0.5,"11",4123,"FALSE","Native 16","Native"
"3481","DashedSentence",-0.5,"22",5890,"FALSE","Native 16","Native"
"3485","DashedSentence",-0.5,"17",4525,"FALSE","Native 16","Native"
"3493","DashedSentence",-0.5,"6",3668,"FALSE","Native 16","Native"
